example_id                                                            | status  | run_time        |
--------------------------------------------------------------------- | ------- | --------------- |
./spec/controllers/api/v1/admin/bicycles_controller_spec.rb[1:1:1:1]  | passed  | 0.05232 seconds |
./spec/controllers/api/v1/admin/bicycles_controller_spec.rb[1:1:1:2]  | passed  | 0.04732 seconds |
./spec/controllers/api/v1/admin/bicycles_controller_spec.rb[1:1:1:3]  | passed  | 0.05068 seconds |
./spec/controllers/api/v1/admin/bicycles_controller_spec.rb[1:1:1:4]  | passed  | 0.04831 seconds |
./spec/controllers/api/v1/admin/bicycles_controller_spec.rb[1:1:1:5]  | passed  | 0.04706 seconds |
./spec/controllers/api/v1/admin/bicycles_controller_spec.rb[1:1:2:1]  | passed  | 0.04475 seconds |
./spec/controllers/api/v1/admin/bicycles_controller_spec.rb[1:1:2:2]  | passed  | 0.04314 seconds |
./spec/controllers/api/v1/admin/bicycles_controller_spec.rb[1:1:3:1]  | passed  | 0.06942 seconds |
./spec/controllers/api/v1/admin/bicycles_controller_spec.rb[1:1:3:2]  | passed  | 0.07698 seconds |
./spec/controllers/api/v1/admin/bicycles_controller_spec.rb[1:1:3:3]  | passed  | 0.0476 seconds  |
./spec/controllers/api/v1/admin/bicycles_controller_spec.rb[1:1:4:1]  | passed  | 0.04726 seconds |
./spec/controllers/api/v1/admin/bicycles_controller_spec.rb[1:1:4:2]  | passed  | 0.04683 seconds |
./spec/controllers/api/v1/admin/bicycles_controller_spec.rb[1:1:4:3]  | passed  | 0.04312 seconds |
./spec/controllers/api/v1/admin/bicycles_controller_spec.rb[1:1:5:1]  | passed  | 0.05185 seconds |
./spec/controllers/api/v1/admin/bicycles_controller_spec.rb[1:1:5:2]  | passed  | 0.05012 seconds |
./spec/controllers/api/v1/admin/bicycles_controller_spec.rb[1:1:5:3]  | passed  | 0.04339 seconds |
./spec/controllers/api/v1/admin/bicycles_controller_spec.rb[1:1:6:1]  | passed  | 0.04822 seconds |
./spec/controllers/api/v1/admin/bicycles_controller_spec.rb[1:1:6:2]  | passed  | 0.04351 seconds |
./spec/controllers/api/v1/admin/bicycles_controller_spec.rb[1:1:6:3]  | passed  | 0.04837 seconds |
./spec/controllers/api/v1/admin/bicycles_controller_spec.rb[1:2:1]    | passed  | 0.03092 seconds |
./spec/controllers/api/v1/admin/bicycles_controller_spec.rb[1:2:2]    | passed  | 0.03038 seconds |
./spec/controllers/api/v1/admin/bicycles_controller_spec.rb[1:2:3]    | passed  | 0.03054 seconds |
./spec/controllers/api/v1/admin/bicycles_controller_spec.rb[1:2:4]    | passed  | 0.02983 seconds |
./spec/controllers/api/v1/admin/bicycles_controller_spec.rb[1:2:5]    | passed  | 0.03025 seconds |
./spec/controllers/api/v1/admin/bicycles_controller_spec.rb[1:2:6]    | passed  | 0.03022 seconds |
./spec/controllers/api/v1/admin/bicycles_controller_spec.rb[1:3:1]    | passed  | 0.03061 seconds |
./spec/controllers/api/v1/admin/bicycles_controller_spec.rb[1:3:2]    | passed  | 0.03442 seconds |
./spec/controllers/api/v1/admin/dashboard_controller_spec.rb[1:1:1:1] | failed  | 0.35505 seconds |
